Gen Number,ID,Fitness,Weights,Diversity
39,644,0.05396875039294862,"[0.49635278440572017, 0.9403987704179252, -0.22661809528803314, -0.049957876908130805, 0.8203979106477752, -0.12254691633299696]",0.1506385594944931
40,632,0.24175639588440495,"[0.21262052400732448, 0.6689922978068364, 0.485052816551824, 0.5944295157346953, 0.9622869093192588, 0.05768444712658612]",0.09454621986743424
40,642,0.2190934736517673,"[0.21340476692429078, 0.6688236566819341, 0.523955877768391, 0.5943055631930892, 0.9623729411995459, 0.05717817831603948]",0.09454621986743424
40,652,0.19549926798670192,"[0.21330948227273785, 0.682303754175166, 0.5192291986334344, 0.5943206232905164, 0.962362488420747, 0.05723968941950172]",0.09454621986743424
40,649,0.167412142766356,"[0.11688746960823909, 0.6887362780274562, 0.5416774058324839, 0.3919587196720272, 0.9512852673268466, 0.11682144199479443]",0.09454621986743424
40,645,0.14412199534432513,"[0.1177789408698005, 0.688552357319298, 0.541513722913262, 0.39382767374433203, 0.951387677391052, 0.11627055363598315]",0.09454621986743424
40,654,0.12089537897673454,"[0.12905852216844793, 0.6862274429053019, 0.5269339929324959, 0.4180415312637459, 0.9526847490659425, 0.10930722285221553]",0.09454621986743424
40,640,0.10912598132800277,"[0.1067312156047242, 0.6908316292845339, 0.5435421942730467, 0.37066630891502184, 0.9501185414104492, 0.12309754122638063]",0.09454621986743424
40,659,0.09999784481535821,"[0.21265724951122864, 0.668984400470237, 0.4868746175470042, 0.5944237111307236, 0.9622909381272812, 0.05766073894028818]",0.09454621986743424
40,648,0.09459127519964897,"[0.21236017878592, 0.6690482816226297, 0.47213816234631734, 0.42745137323720717, 0.9622583493049612, 0.057852513248345686]",0.09454621986743424
40,650,0.0882706489070123,"[0.15975563897798045, 0.6798972907800216, 0.504099895362686, 0.48317624557269, 0.956212947862934, 0.09034734460786956]",0.09454621986743424
40,615,0.08768175944061664,"[0.21221780991078576, 0.6690788961767866, 0.4650758287952445, 0.594493166211769, 0.9622427313608817, 0.057944419620100884]",0.09454621986743424
40,655,0.08710238678576682,"[0.2124483500753509, 0.6690293215464695, 0.47651197688268765, 0.5944567284719795, 0.9622680217440144, 0.05779559418301679]",0.09454621986743424
40,653,0.08094369708280784,"[0.3594771000286314, 0.6656008175644601, 0.5210876650466533, 0.6270552103280069, 0.9641674708327207, 0.04752497194294]",0.09454621986743424
40,660,0.07101212593166749,"[0.21336785114739004, 0.6688315949342389, 0.5221246381134871, 0.5943113978704235, 0.5656365603705561, 0.05720200933326337]",0.09454621986743424
40,658,0.069210197183594,"[0.1779527890341283, 0.7349377661883395, 0.4905639172950154, 0.7364670356537111, 0.9583044525255751, 0.07910799103602148]",0.09454621986743424
40,651,0.06752818706583046,"[0.21223095441615034, 0.669076069623785, 0.46572787357090933, 0.5944910886732756, 0.9622441733203657, 0.2097812199647175]",0.09454621986743424
40,656,0.06697631655730095,"[0.21288408408015674, 0.6689356226795256, 0.28965537811167463, 0.5943878590742566, 0.9623158220045299, 0.05751430565422634]",0.09454621986743424
40,646,0.06680301607605937,"[0.534789040181749, 0.6759253682845583, 0.3989624245919199, 0.5221398296388253, 0.9584185918036755, 0.07844957449919623]",0.09454621986743424
40,657,0.06345424919546441,"[0.13722517002981965, 0.6845403780303037, 0.5379432033754885, 0.1492717961901976, 0.9536216132033452, 0.10425367577469619]",0.09454621986743424
40,647,0.0629043819388987,"[-0.15470470965644903, 0.6993259421309546, 0.5662913829587852, 0.28363458433198474, 0.14467789023779198, 0.14853967923795058]",0.09454621986743424
41,670,0.23567308150832791,"[0.2134415171863394, 0.6636245285196991, 0.5257789069131535, 0.5942997546759996, 0.9623769727235504, 0.057154454147096245]",0.13679420856058547
41,642,0.207414478202231,"[0.21340476692429078, 0.6688236566819341, 0.523955877768391, 0.5943055631930892, 0.9623729411995459, 0.05717817831603948]",0.13679420856058547
41,674,0.19015161138541048,"[0.2232661583639804, 0.6816395224849471, 0.5169111643823994, 0.6152168053122217, 0.963506338246894, 0.05108719171749963]",0.13679420856058547
41,664,0.12844128463147678,"[0.2129307416839968, 0.6689255895754622, 0.5004414378641204, 0.39083488545109607, 0.96232094036939, 0.057484185790740105]",0.13679420856058547
41,632,0.09999771400760207,"[0.21262052400732448, 0.6689922978068364, 0.485052816551824, 0.5944295157346953, 0.9622869093192588, 0.05768444712658612]",0.13679420856058547
41,662,0.09476191201323067,"[0.25976299252933394, 0.6792047386652129, 0.5084142613121023, 0.3113693881440663, 0.9676991930743882, 0.028534817182569158]",0.13679420856058547
41,661,0.0870742922327474,"[0.21330977399188472, 0.682262484122999, 0.5192436696188686, 0.5943205771832085, 0.9170178346267956, -0.22796569923935922]",0.13679420856058547
41,649,0.08355699950551841,"[0.11688746960823909, 0.6887362780274562, 0.5416774058324839, 0.3919587196720272, 0.9512852673268466, 0.11682144199479443]",0.13679420856058547
41,675,0.08108549274990806,"[0.0876516454406051, 0.69068666395182, 0.5484838582224957, 0.33060118451038967, 0.7652311215839541, 0.13488704334198642]",0.13679420856058547
41,668,0.0801957367368516,"[0.24550831904207177, 0.6801556991842852, 0.5117329211819215, 0.6618966645168622, 0.9660615777054871, 0.03734316296679222]",0.13679420856058547
41,652,0.07499752151821198,"[0.21330948227273785, 0.682303754175166, 0.5192291986334344, 0.5943206232905164, 0.962362488420747, 0.05723968941950172]",0.13679420856058547
41,663,0.07456710632809706,"[0.13573169681809158, 0.6848498455758896, 0.5305313431400611, 0.4318133519963989, 0.8767999382774687, 0.10518083390180702]",0.13679420856058547
41,676,0.07411229557208418,"[0.24210531570804844, 0.6803827209971538, 0.512525181391289, 0.19202938147984577, 0.9656706314964985, 0.03944597016877594]",0.13679420856058547
41,669,0.06111383238929831,"[0.1528058226342722, 0.9798445165728065, 0.932902064652531, 0.4672609251978782, 0.9554114809224578, 0.09462554695824726]",0.13679420856058547
41,671,0.059515984133584256,"[0.16541590596983993, 0.6854988396481464, 0.5303794006945742, 0.4938058652603702, 0.9568603450924309, 0.33575155563235887]",0.13679420856058547
41,667,0.058156054468324905,"[0.17321319802473611, 0.6849786652010426, 0.5285640970849218, 0.5101701250356596, 0.957756119051499, 0.5134703805449546]",0.13679420856058547
41,673,0.05637613264190157,"[0.2133936354869591, 0.6703984418968161, 0.523403693007045, 0.9606634935915788, 0.9623717200747347, 0.05718536422670015]",0.13679420856058547
41,672,0.05349494797421061,"[0.1896261014152124, 0.6737294670967617, -0.2569642753581166, 0.5444540024604106, 0.9596413055692057, 0.07187230316542034]",0.13679420856058547
41,666,0.05209229995392124,"[0.13812250395710893, 0.687319642332155, -0.0913146027555134, 0.43652491213674294, 0.9537248053941287, -0.037224093894831375]",0.13679420856058547
